published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,sentiment_score
2022-03-29,300.9,314.0,300.9,307.0,0.0,20491.0,6275001.3,1,0.20651999999999998
2022-03-30,300.9,318.0,300.9,317.9,3.55,26619.0,8313236.7,1,0.17097
2022-03-31,311.6,323.3,303.0,305.0,-4.06,31236.0,9708037.7,-1,0.18585999999999997
2022-04-03,305.0,310.9,297.0,299.0,-1.97,28466.0,8540110.4,-1,0.21116000000000001
2022-04-04,299.0,304.9,295.2,299.0,0.0,27101.0,8070952.5,0,0.43646
2022-04-05,293.1,298.9,284.2,289.0,-3.34,41821.0,12076578.9,-1,0.18075000000000002
2022-04-06,283.3,295.8,280.4,285.0,-1.38,24319.0,6996254.2,1,0.07966999999999999
2022-04-07,285.0,299.9,284.1,295.0,3.51,38865.0,11392787.4,1,0.33928
2022-04-11,299.0,306.0,280.0,288.0,-2.37,31847.0,9358549.4,-1,0.07425999999999999
2022-04-12,282.3,285.0,268.0,271.0,-5.9,36414.0,10068570.8,-1,0.18963999999999998
2022-04-13,271.0,279.0,263.8,273.9,1.07,24337.0,6622563.8,1,0.31348
2022-04-17,276.0,279.0,260.0,265.2,-3.18,13683.0,3672424.3,-1,0.19605
2022-04-18,259.9,261.1,247.0,249.8,-5.81,24667.0,6260646.5,-1,0.12978
2022-04-19,250.0,256.0,237.0,250.0,0.08,18359.0,4568298.3,0,0.23498999999999998
2022-04-20,245.0,254.0,236.2,238.0,-4.8,15193.0,3665993.0,-1,0.2686
2022-04-21,242.7,242.7,217.6,223.0,-6.3,33702.0,7713336.5,-1,0.08743999999999999
2022-04-24,227.0,245.3,226.1,245.3,10.0,33247.0,7901716.0,1,0.13623
2022-04-25,250.2,265.5,244.1,249.5,1.71,54823.0,13937846.2,-1,0.24345
2022-04-26,254.4,259.5,244.6,249.0,-0.2,18799.0,4722729.4,-1,0.12115000000000001
2022-04-27,253.9,255.8,245.0,252.0,1.2,21462.0,5377041.5,-1,0.39803
2022-04-28,255.0,258.9,241.0,246.1,-2.34,21417.0,5333831.6,-1,0.24967
2022-05-02,242.0,242.0,225.7,230.0,-6.54,24332.0,5614288.4,-1,-0.0088875
2022-05-04,230.0,234.6,217.0,228.9,-0.48,21120.0,4785622.5,-1,0.28066
2022-05-05,230.0,230.0,212.0,213.2,-6.86,23686.0,5157890.3,-1,0.29783
2022-05-08,211.0,233.0,209.0,232.0,8.82,21264.0,4600908.2,1,0.27031
2022-05-09,234.5,239.0,225.4,226.0,-2.59,22530.0,5236351.5,-1,0.27833
2022-05-10,229.0,240.0,229.0,240.0,6.19,20847.0,4924379.3,1,0.42203999999999997
2022-05-11,240.0,253.0,238.3,253.0,5.42,29766.0,7366388.7,1,0.39238
2022-05-12,256.0,263.0,245.1,248.0,-1.98,47573.0,12130957.6,-1,0.25009000000000003
2022-05-17,243.1,244.0,230.0,231.0,-6.85,16150.0,3823682.4,-1,0.16216999999999998
2022-05-18,227.0,247.9,222.2,240.0,3.9,17829.0,4201786.1,1,0.15093
2022-05-19,244.8,248.5,230.5,235.0,-2.08,20026.0,4784417.3,-1,0.04369
2022-05-20,231.2,239.0,230.9,234.0,-0.43,9338.0,2173371.7,1,0.16433
2022-05-23,233.0,233.0,225.0,227.3,-2.86,11658.0,2673935.2,-1,0.21067
2022-05-24,225.1,238.0,225.1,234.5,3.17,10737.0,2522027.5,1,0.07705000000000001
2022-05-25,238.9,243.0,234.0,235.0,0.21,18303.0,4365366.0,-1,0.27193999999999996
2022-05-26,239.6,244.4,232.0,236.0,0.43,8685.0,2053498.5,-1,-0.025160000000000005
2022-05-27,239.7,245.0,230.3,233.0,-1.27,9733.0,2280459.6,-1,0.16342
2022-05-30,237.5,237.5,222.1,224.0,-3.86,10904.0,2460943.1,-1,-0.03763999999999999
2022-05-31,221.0,232.0,220.0,223.0,-0.45,13153.0,2962723.6,1,0.17069
2022-06-01,225.0,229.3,220.0,224.7,0.76,10430.0,2327403.5,-1,0.14601999999999998
2022-06-02,229.1,229.1,219.6,222.5,-0.98,7807.0,1741643.4,-1,0.06903
2022-06-03,226.5,226.5,216.0,220.0,-1.12,19103.0,4180881.7,-1,0.054200000000000005
2022-06-06,223.0,226.9,217.6,221.0,0.45,26251.0,5858602.3,-1,0.08366
2022-06-07,225.4,225.4,213.0,215.0,-2.71,14696.0,3169509.3,-1,0.04664
2022-06-08,218.8,229.9,211.0,222.5,3.49,19668.0,4364348.0,1,0.20798999999999998
2022-06-09,225.0,229.0,215.1,217.0,-2.47,23155.0,5154275.0,-1,0.35299
2022-06-10,221.3,221.3,213.0,215.0,-0.92,14988.0,3230894.1,-1,0.12125
2022-06-13,211.5,215.0,210.0,211.9,-1.44,18986.0,4021932.6,1,0.11778999999999999
2022-06-14,211.0,211.1,205.0,205.5,-3.02,17708.0,3675248.5,-1,0.31447
2022-06-15,202.0,209.0,198.1,202.5,-1.46,10565.0,2139128.0,1,0.19175
2022-06-16,199.0,210.1,198.5,203.0,0.25,10871.0,2231209.8,1,0.25145
2022-06-17,206.9,206.9,202.0,204.0,0.49,19700.0,4007830.5,-1,0.12373
2022-06-19,207.9,207.9,194.3,195.0,-4.41,10561.0,2090717.1,-1,0.20827999999999997
2022-06-20,192.0,198.0,183.0,190.0,-2.56,27893.0,5207338.7,-1,0.25505
2022-06-21,186.2,198.9,186.2,198.0,4.21,19070.0,3684264.5,1,0.28771
2022-06-22,201.9,201.9,187.0,187.0,-5.56,8051.0,1529797.9,-1,0.12395555555555554
2022-06-23,184.0,190.6,169.0,190.6,1.93,32680.0,5724034.4,1,0.030010000000000002
2022-06-24,189.5,193.0,171.6,181.0,-5.04,30420.0,5522604.9,-1,0.32402
2022-06-26,183.0,199.1,181.0,199.1,10.0,33023.0,6431472.6,1,0.21745
2022-06-27,203.0,207.0,193.0,193.0,-3.06,32481.0,6470404.4,-1,0.04678
2022-06-28,189.2,192.6,185.0,186.0,-3.63,14938.0,2804135.5,-1,0.03916
2022-06-29,183.0,195.0,178.7,194.0,4.3,28916.0,5538066.7,1,0.12713999999999998
2022-06-30,197.5,210.0,194.1,206.0,6.19,30965.0,6311544.6,1,0.29838
2022-07-01,209.0,211.2,202.0,204.0,-0.97,12851.0,2654244.6,-1,0.21173999999999998
2022-07-03,207.0,221.0,202.0,219.0,7.35,30402.0,6463252.5,1,0.29801
2022-07-04,223.0,232.5,214.7,225.9,3.15,48472.0,10852508.5,1,0.11756
2022-07-05,230.4,230.4,210.0,211.0,-6.6,38113.0,8277139.5,-1,0.18323
2022-07-06,214.0,217.0,203.5,213.0,0.95,32922.0,6910719.9,-1,0.08395
2022-07-07,217.0,225.0,208.0,210.0,-1.41,22049.0,4671939.4,-1,0.20234000000000002
2022-07-08,208.0,209.0,205.0,205.1,-2.33,15026.0,3101957.0,-1,0.12688000000000002
2022-07-11,204.0,204.0,190.0,192.0,-6.39,27310.0,5308879.8,-1,0.254
2022-07-12,195.0,200.0,186.2,195.0,1.56,36179.0,6950927.9,0,0.23298000000000002
2022-07-13,198.0,211.0,196.2,211.0,8.21,19664.0,4025033.1,1,0.16996
2022-07-14,215.0,217.9,205.0,212.9,0.9,16699.0,3514123.7,-1,0.24026
2022-07-15,212.9,213.0,206.0,208.0,-2.3,8272.0,1729848.5,-1,0.27488999999999997
2022-07-17,208.0,209.2,203.9,207.0,-0.48,5459.0,1130045.0,-1,0.06853999999999999
2022-07-18,203.1,208.9,203.1,208.8,0.87,8855.0,1826375.5,1,0.09867999999999999
2022-07-19,209.0,214.0,205.0,207.1,-0.81,26994.0,5706277.6,-1,0.34414
2022-07-20,210.9,211.0,203.1,207.7,0.29,20300.0,4185769.0,-1,0.16228
2022-07-21,205.0,209.0,203.0,204.0,-1.78,11227.0,2295899.6,-1,0.11296999999999999
2022-07-22,200.1,204.0,197.0,203.0,-0.49,11791.0,2368381.0,1,0.12138
2022-07-24,207.0,214.2,202.1,212.2,4.53,21261.0,4431709.6,1,0.38571
2022-07-25,216.0,227.0,214.0,223.0,5.09,50702.0,11196698.5,1,0.14979
2022-07-26,223.0,237.1,218.9,222.0,-0.45,61904.0,14028754.8,-1,0.31392000000000003
2022-07-27,218.0,239.0,215.0,237.0,6.76,83189.0,19055057.1,1,0.11256
2022-07-28,239.0,249.9,223.5,237.2,0.08,62015.0,14999715.5,-1,0.36746
2022-07-29,239.0,240.0,232.6,233.0,-1.77,16979.0,3999762.0,-1,0.016999999999999998
2022-07-31,235.0,241.9,231.0,234.0,0.43,44340.0,10466597.0,-1,0.2383
2022-08-01,234.0,244.8,230.5,233.0,-0.43,54842.0,12966295.9,-1,0.24599000000000001
2022-08-02,233.1,241.0,229.0,240.0,3.0,55765.0,13180711.9,1,0.39876
2022-08-03,244.0,249.6,240.0,246.0,2.5,50187.0,12281079.3,1,0.34442
2022-08-04,248.0,262.1,238.5,256.2,4.15,153163.0,38967134.3,1,0.21291
2022-08-05,257.0,266.0,252.0,257.0,0.31,82976.0,21614565.2,0,0.27814
2022-08-07,260.0,262.5,252.9,256.0,-0.39,57347.0,14742141.4,-1,0.4683
